INdex,INdex.1,INdex.1.1,Magnitude,Station Name,Epicenter distance,Hypocenter distance,Focal depth,Station_Lon,Station_Lat,Epicenter_Lon,Epicenter_Lat,PGA,Tau_p,Tau_c,Origin Time,Rec Start Time,Vs30,Vs_20,Vs_10,Vs_5,PI_v,T_va,RSSC Vel,CAV,CAD,ID_2,IV_2,Arias intensity UD,Arias intensity NS,Arias intensity EW,PGV UD 3 sec,PGD UD 3 sec,PGA UD 3 sec,Max Acc Index UD,Max Acc Index NS,Max Acc Index EW,Max Vel Index UD,Max Disp Index UD,Total PGV UD,Total PGD UD,Total PGV NS,Total PGD NS,Total PGV EW,Total PGD EW,V VS ACC
3793,3793,3793,4.5,NGN016,120.5195647,122.6946025,23,138.2229,35.9133,138.408,34.84,2.487,1.5,2.920787486,18:11:00,18:11:41,355,236,155,96,-5.371627581,0.539545779,0.162008731,2.43504877,1.070820676,5.64E-05,0.000260911,1.543351534,0.094983699,0.176416884,0.023143423,0.009970282,0.269512651,289,199,249,294,299,0.007012883,0.000348389,0.007901195,0.000372499,0.010796494,0.000352503,0.085871378
3794,3794,3794,4.5,NGN017,136.7813688,138.7016325,23,137.8255,35.9748,138.408,34.84,2.618,0.010204082,0.666091824,18:11:00,18:11:44,990,660,330,236,-6.437601258,0.143783703,0.040170997,0.548691795,0.06078013,1.81E-07,1.61E-05,0.038627126,14.57084145,14.59509026,0.006849335,0.000528847,0.299308202,69,43,52,68,107,0.007534434,0.000330982,0.007476987,0.000524968,0.008870886,0.000597873,0.022883887
3795,3795,3795,4.5,NGN018,134.3942263,136.3481135,23,137.5295,35.8132,138.408,34.84,2.775,0.01,1.201934975,18:11:00,18:11:43,585,390,274,184,-7.260902898,0.111373235,0.034287444,0.464479696,0.095964192,4.30E-07,1.18E-05,0.031977087,2.287616723,1.498251213,0.005707885,0.000719297,0.322013645,18,170,230,57,278,0.004637254,0.000239349,0.006059285,0.000306892,0.007494242,0.000401536,0.017725601
3796,3796,3796,4.5,NGN019,129.6180566,131.6428524,23,137.7078,35.8562,138.408,34.84,3.881,1.5,2.467743631,18:11:00,18:11:41,579,386,194,130,-6.450814764,0.117814697,0.052347334,0.757343637,0.297233983,4.21E-06,2.73E-05,0.128723134,0.170133515,0.848856049,0.007549161,0.002462845,0.402604902,167,132,145,291,299,0.00599165,0.000187019,0.016116286,0.000348498,0.010429863,0.000284886,0.018750791
3797,3797,3797,4.5,NGN020,117.3719433,119.6042351,23,137.9532,35.8282,138.408,34.84,1.233,1.5,2.960728458,18:11:00,18:11:40,736,491,379,261,-6.187375606,0.323656156,0.103462346,1.535384822,0.679879979,2.36E-05,0.000106231,0.627088313,0.038280492,0.131252549,0.012799426,0.005923099,0.248477175,100,181,184,298,299,0.006229976,0.000329203,0.004311575,0.000148633,0.002327047,8.45E-05,0.051511477
3798,3798,3798,4.5,NGN021,107.9477823,110.3708463,23,137.9341,35.7304,138.408,34.84,1.414,0.75,0.772656645,18:11:00,18:11:37,678,452,331,216,-7.303447788,0.205415789,0.027640357,0.359524282,0.044796027,1.15E-07,7.63E-06,0.016240599,0.016213916,0.010713545,0.006324034,0.00050472,0.193437296,166,137,178,163,255,0.002983657,0.000148334,0.002709652,7.28E-05,0.002299117,0.000116233,0.032692938
3799,3799,3799,4.5,NGN023,88.89695738,91.82412009,23,138.0338,35.5787,138.408,34.84,3.637,1.5,1.705674837,18:11:00,18:11:31,711,474,281,183,-6.55644127,0.103136162,0.035980016,0.488442465,0.144265434,9.54E-07,1.29E-05,0.063098824,0.034320413,0.040811951,0.006459989,0.001004381,0.393550668,253,263,270,251,254,9.28E-05,3.49E-06,0.000376815,2.56E-05,0.000165685,1.09E-05,0.01641463
3800,3800,3800,4.5,NGN024,91.98010358,94.81212714,23,137.8374,35.5232,138.408,34.84,21.204,0.010344828,1.033969652,18:11:00,18:11:30,476,317,159,108,-4.23231664,0.13977771,0.113814085,1.581651818,0.27470807,3.50E-06,0.00012941,0.401648581,0.386380775,0.300598483,0.022269753,0.002367173,1.001053631,230,243,262,232,276,0.000308351,7.67E-06,0.000733756,4.25E-05,0.000498539,1.91E-05,0.022246314
3801,3801,3801,4.5,NGN025,70.1369232,73.81184184,23,137.8567,35.2807,138.408,34.84,16.59,0.010273973,1.215979539,18:11:00,18:11:25,584,389,210,111,-5.641560748,0.103849682,0.066529662,0.915011007,0.2007336,1.66E-06,4.43E-05,0.138790242,0.286479281,0.271575238,0.01173147,0.001336506,0.709785519,73,219,146,13,281,8.68E-05,6.72E-06,0.000104575,6.25E-06,0.000134225,7.70E-06,0.01652819
3802,3802,3802,4.5,SIT014,133.3187882,135.2882083,23,138.801,35.9954,138.408,34.84,3.709,0.011627907,1.042487013,18:11:00,18:11:42,489,326,163,100,-6.242203378,0.108641545,0.034577106,0.474849464,0.08697244,3.29E-07,1.19E-05,0.026244675,2.736656063,2.238839077,0.0070818,0.000590867,0.409569508,190,246,224,199,215,0.005123631,0.000196991,0.014109584,0.000347038,0.013873852,0.000274174,0.017290839
3803,3803,3803,4.5,SZO001,69.803019,73.4946356,23,139.0795,35.1424,138.408,34.84,8.356,0.011406844,0.375698729,18:11:00,18:11:25,889,592,296,186,-5.376096488,0.057270075,0.043019994,0.590263361,0.037299847,6.60E-08,1.85E-05,0.041277254,0.188965676,0.230649542,0.008119923,0.000302114,0.890848883,167,209,195,166,257,0.000121399,4.16E-06,0.000686751,5.10E-05,0.001005417,7.01E-05,0.009114815
3804,3804,3804,4.5,SZO002,64.8994289,68.85445427,23,139.1031,34.9652,138.408,34.84,3.671,1.5,3.187504475,18:11:00,18:11:25,541,361,204,151,-7.884353357,0.686926379,0.080811637,1.250065983,0.587314711,1.67E-05,6.50E-05,0.415345997,0.226195551,0.860109296,0.007648268,0.005015539,0.069957257,202,205,186,291,299,0.001058499,6.48E-05,0.001436888,4.84E-05,0.001681511,0.00010044,0.109327729
3805,3805,3805,4.5,SZO003,59.08073231,63.39978652,23,139.0546,34.8158,138.408,34.84,8.228,0.010600707,0.333247066,18:11:00,18:11:23,473,316,158,102,-4.487485316,0.114072577,0.114077314,1.518902707,0.085457148,3.63E-07,0.000129203,0.303810291,0.295525975,0.293953131,0.022572189,0.000895148,1.243289601,271,264,290,274,271,0.000235397,7.65E-06,0.000441827,1.56E-05,0.000421538,1.73E-05,0.018155214
3806,3806,3806,4.5,SZO004,43.28991172,49.02057177,23,138.8194,34.6469,138.408,34.84,11.009,0.011627907,0.25528531,18:11:00,18:11:18,733,488,244,168,-4.094777948,0.075359766,0.093966168,1.247318745,0.050660529,1.46E-07,8.83E-05,0.189837478,0.102287969,0.172907531,0.018855143,0.000589073,1.572063773,58,119,78,31,259,8.78E-05,4.52E-06,6.13E-05,4.12E-06,8.71E-05,5.56E-06,0.011993879
3807,3807,3807,4.5,SZO005,35.62167785,42.40169729,23,138.7841,34.7549,138.408,34.84,6.043,1.5,3.2033943,18:11:00,18:11:16,284,189,161,124,-5.732984526,1.024057803,0.29564653,4.578385162,2.161315178,0.000226279,0.000870527,5.504305558,2.835317131,1.802191007,0.027423185,0.01834205,0.168257056,6,27,10,294,299,0.003530736,0.000252669,0.002416791,0.000184982,0.002187117,0.000153231,0.162983861
3808,3808,3808,4.5,SZO006,36.10274145,42.8066343,23,138.7941,34.9113,138.408,34.84,5.044,0.5,0.4436614,18:11:00,18:11:17,859,573,286,167,-4.991059991,0.056666554,0.058979513,0.777972407,0.061986668,1.73E-07,3.47E-05,0.080724607,0.017212339,0.050658817,0.011748806,0.000469366,1.302707182,44,67,34,53,270,9.45E-05,5.78E-06,0.000101327,6.36E-06,0.0001209,6.87E-06,0.009018762
